Symbol, Sector, Sub-sector,Company
CADILAHC, Healthcare , Drug Manufacturers-Specialty & Generic,Cadila Healthcare Limited
CALSOFT, Technology , Software-Application,California Software Company Limited
CAMLINFINE, Basic Materials , Specialty Chemicals,Camlin Fine Sciences Limited
CANBK, Financial Services , Banks-Regional,Canara Bank
CANDC, Industrials , Engineering & Construction,C & C Constructions Limited
CANFINHOME, Financial Services , Mortgage Finance,Can Fin Homes Limited
CANTABIL, Consumer Cyclical , Apparel Manufacturing,Cantabil Retail India Limited
CAPACITE, Industrials , Engineering & Construction,Capacit'e Infraprojects Limited
CAPLIPOINT, Healthcare , Drug Manufacturers-Specialty & Generic,Caplin Point Laboratories Limited
CAPTRUST, Financial Services , Credit Services,Capital Trust Limited
CARBORUNIV, Industrials , Building Products & Equipment,Carborundum Universal Limited
CAREERP, Consumer Defensive , Education & Training Services,Career Point Limited
CARERATING, Financial Services , Financial Data & Stock Exchanges,CARE Ratings Limited
CASTEXTECH, Consumer Cyclical , Auto Parts,Castex Technologies Limited
CASTROLIND, Basic Materials , Specialty Chemicals,Castrol India Limited
CCCL, Industrials , Engineering & Construction,Consolidated Construction Consortium Limited
CCHHL, Consumer Cyclical , Resorts & Casinos,Country Club Hospitality & Holidays Limited
CCL, Consumer Defensive , Packaged Foods,CCL Products (India) Limited
CDSL, Financial Services , Capital Markets,Central Depository Services (India) Limited
CEATLTD, Consumer Cyclical , Auto Parts,CEAT Limited
CEBBCO, Industrials , Railroads,Commercial Engineers & Body Builders Co Limited
CELEBRITY, Consumer Cyclical , Apparel Manufacturing,Celebrity Fashions Limited
CENTENKA, Consumer Cyclical , Textile Manufacturing,Century Enka Limited
CENTEXT, Basic Materials , Aluminum,Century Extrusions Limited
CENTRALBK, Financial Services , Banks-Regional,Central Bank of India
CENTRUM, Financial Services , Capital Markets,Centrum Capital Limited
CENTUM, Technology , Electronic Components,Centum Electronics Limited
CENTURYPLY, Consumer Cyclical , Furnishings Fixtures & Appliances,Century Plyboards (India) Limited
CENTURYTEX, Basic Materials , Paper & Paper Products,Century Textiles & Industries Limited
CERA, Industrials , Building Products & Equipment,Cera Sanitaryware Limited
CEREBRAINT, Technology , Computer Hardware,Cerebra Integrated Technologies Limited
CESC, Utilities , Utilities-Independent Power Producers,CESC Limited
CESCVENT, Technology , Information Technology Services,CESC Ventures Limited
CGCL, Financial Services , Credit Services,Capri Global Capital Limited
CGPOWER, Industrials , Electrical Equipment & Parts,CG Power and Industrial Solutions Limited
CHALET, Consumer Cyclical , Lodging,Chalet Hotels Limited
CHAMBLFERT, Basic Materials , Agricultural Inputs,Chambal Fertilizers & Chemicals Limited
CHEMBOND, Basic Materials , Specialty Chemicals,Chembond Chemicals Ltd
CHEMFAB, Basic Materials , Specialty Chemicals,Chemfab Alkalis Limited
CHENNPETRO, Energy , Oil & Gas Refining & Marketing,Chennai Petroleum Corporation Limited
CHOLAFIN, Financial Services , Credit Services,Cholamandalam Investment and Finance Company Limited
CHOLAHLDNG, Financial Services , Insurance-Diversified,Cholamandalam Financial Holdings Limited
CHROMATIC, Basic Materials , Specialty Chemicals,Chromatic India Limited
CIGNITITEC, Technology , Information Technology Services,Cigniti Technologies Limited
CIMMCO, Industrials , Railroads,Cimmco Limited
CINELINE, Real Estate , Real Estate Services,Cineline India Limited
CINEVISTA, Communication Services , Entertainment,Cinevista Limited
CIPLA, Healthcare , Drug Manufacturers-General,Cipla Limited
CKFSL, Financial Services , Credit Services,Cox & Kings Financial Service Limited
CLEDUCATE, Consumer Defensive , Education & Training Services,CL Educate Limited
